type;n;algo;threshold;time_ms
random;27000;quick;0;1
random;27100;quick;0;1
random;27200;quick;0;1
random;27300;quick;0;1
random;27400;quick;0;1
random;27500;quick;0;1
random;27600;quick;0;1
random;27700;quick;0;1
random;27800;quick;0;1
random;27900;quick;0;1
random;28000;quick;0;1
random;28100;quick;0;1
random;28200;quick;0;1
random;28300;quick;0;1
random;28400;quick;0;1
random;28500;quick;0;1
random;28600;quick;0;1
random;28700;quick;0;1
random;28800;quick;0;1
random;28900;quick;0;1
random;29000;quick;0;1
random;29100;quick;0;1
random;29200;quick;0;1
random;29300;quick;0;1
random;29400;quick;0;1
random;29500;quick;0;1
random;29600;quick;0;1
random;29700;quick;0;1
random;29800;quick;0;1
random;29900;quick;0;1
random;30000;quick;0;1
random;30100;quick;0;1
random;30200;quick;0;1
random;30300;quick;0;1
random;30400;quick;0;1
random;30500;quick;0;1
random;30600;quick;0;1
random;30700;quick;0;1
random;30800;quick;0;1
random;30900;quick;0;1
random;31000;quick;0;1
random;31100;quick;0;1
random;31200;quick;0;1
random;31300;quick;0;1
random;31400;quick;0;1
random;31500;quick;0;1
random;31600;quick;0;1
random;31700;quick;0;1
random;31800;quick;0;1
random;31900;quick;0;1
random;32000;quick;0;1
random;32100;quick;0;1
random;32200;quick;0;1
random;32300;quick;0;1
random;32400;quick;0;1
random;32500;quick;0;1
random;32600;quick;0;1
random;32700;quick;0;1
random;32800;quick;0;1
random;32900;quick;0;1
random;33000;quick;0;1
random;33100;quick;0;1
random;33200;quick;0;1
random;33300;quick;0;1
random;33400;quick;0;1
random;33500;quick;0;1
random;33600;quick;0;1
random;33700;quick;0;1
random;33800;quick;0;1
random;33900;quick;0;1
random;34000;quick;0;1
random;34100;quick;0;1
random;34200;quick;0;1
random;34300;quick;0;1
random;34400;quick;0;1
random;34500;quick;0;1
random;34600;quick;0;1
random;34700;quick;0;1
random;34800;quick;0;1
random;34900;quick;0;1
random;35000;quick;0;1
random;35100;quick;0;1
random;35200;quick;0;1
random;35300;quick;0;1
random;35400;quick;0;1
random;35500;quick;0;1
random;35600;quick;0;1
random;35700;quick;0;1
random;35800;quick;0;1
random;35900;quick;0;1
random;36000;quick;0;1
random;36100;quick;0;1
random;36200;quick;0;1
random;36300;quick;0;1
random;36400;quick;0;1
random;36500;quick;0;1
random;36600;quick;0;1
random;36700;quick;0;1
random;36800;quick;0;1
random;36900;quick;0;1
random;37000;quick;0;1
random;37100;quick;0;1
random;37200;quick;0;1
random;37300;quick;0;1
random;37400;quick;0;1
random;37500;quick;0;1
random;37600;quick;0;1
random;37700;quick;0;1
random;37800;quick;0;1
random;37900;quick;0;1
random;38000;quick;0;1
random;38100;quick;0;1
random;38200;quick;0;1
random;38300;quick;0;1
random;38400;quick;0;1
random;38500;quick;0;1
random;38600;quick;0;1
random;38700;quick;0;1
random;38800;quick;0;1
random;38900;quick;0;2
random;39000;quick;0;1
random;39100;quick;0;1
random;39200;quick;0;1
random;39300;quick;0;2
random;39400;quick;0;1
random;39500;quick;0;1
random;39600;quick;0;2
random;39700;quick;0;2
random;39800;quick;0;2
random;39900;quick;0;2
random;40000;quick;0;2
random;40100;quick;0;2
random;40200;quick;0;2
random;40300;quick;0;2
random;40400;quick;0;2
random;40500;quick;0;2
random;40600;quick;0;2
random;40700;quick;0;2
random;40800;quick;0;2
